,text,label
99,Déductibilité fiscale des frais d'ordinateur personnel pour les enseignants,Ministre des Finances
100,Familles d'accueil,Ministre de l'Education nationale
101,Impact de la hausse des prix pétroliers sur les recettes de l'Etat,Ministre des Finances
102,Transferts pour soins à l'étranger,Ministre de la Sécurité sociale
103,Entretien des rives de la Moselle,Ministre de l'Intérieur
104,Qualité de la nourriture dans les hôpitaux,Ministre de la Santé
105,Hôpital de la Ville de Dudelange,Ministre de la Santé
106,La nouvelle grille scolaire proposée dans le cadre de la réforme de la division supérieure de l'enseignement secondaire,Ministre de l'Education nationale
107,Interdiction d'un pesticide,Ministre de la Santé
108,Conventions frontalières franco-belges concernant les résidents de l'espace Sud Luxembourg Belge et du Bassin de Longwy,Ministre de la Sécurité sociale
109,Prix d'hébergement pratiqués par les Centres intégrés pour personnes âgées (CIPA) et autres structures d'accueil,Ministre de la Sécurité sociale
110,Participation financière de la Fédération Luxembourgeoise de Football aux surcoûts des mesures de sécurité lors de la rencontre de football Luxembourg-Angleterre,Premier Ministre
111,Fermeture provisoire ou définitive de la maternité à l'hôpital de Dudelange lors de la construction d'une nouvelle salle d'opération,Ministre de la Santé
112,OGM,Ministre de la Santé
113,Apposition d'un pictogramme sur le conditionnement extérieur de médicaments ayant des effets sur la capacité de conduire des véhicules ou d'utiliser des machines,Ministre de la Santé
114,Implantation de panneaux d'affichage lumineux à l'entrée des bretelles d'accès des autoroutes,Ministre du Développement durable et des Infrastructures
115,Prolongation du mandat de l'Observatoire des phénomènes racistes et xénophobes de l'UE par transformation en Agence des droits fondamentaux,Ministre de la Justice
116,Fonctionnement des services d'urgence,Ministre de la Santé
117,Contrôle aérien,Ministre du Développement durable et des Infrastructures
118,Vaccin contre la grippe,Ministre de la Santé
119,Postes d'apprentissage auprès des CFL,Ministre du Développement durable et des Infrastructures
120,Recours aux conseils extérieurs,Ministre des Finances
121,Plan d'aménagement général (PAG),Ministre de l'Intérieur
122,Prolongation du congé de la Toussaint,Ministre de l'Education nationale
123,Evolution du suivi psychologique et psychiatrique pour adultes et enfants,Ministre de la Santé
124,Modification notable des modalités d'exploitation pour une vingtaine de réacteurs nucléaires français,Ministre de la Santé
125,Accidents de la route mortels,Ministre du Développement durable et des Infrastructures
126,Renouvellement décennal des inscriptions hypothécaires des prêts,Ministre des Finances
127,Vote par correspondance,Ministre de l'Intérieur
128,Attribution des lits urgents pendant des périodes intensives,Ministre de la Sécurité sociale
129,"Exécution du ""Zukunftspak""",Ministre de l'Intérieur
130,Mise en oeuvre de la loi portant création de la profession de psychothérapeute,Ministre de la Santé
131,Mesures préconisées dans le plan national de lutte contre le tabagisme (PNLT),Ministre des Finances
132,Rééducation cardiaque,Ministre de la Sécurité sociale
133,Paiement de salaires suite à l'introduction du statut unique,Ministre de la Santé
134,Délivrance d'un nouveau diplôme dans le cas de changement de sexe,Ministre de l'Education nationale
135,Prestation de serment des membres de la Direction de la Banque centrale du Luxembourg,Premier Ministre
136,Climatisation dans les trains,Ministre du Développement durable et des Infrastructures
137,Organisation pratique du Service d'Aide Médicale Urgente (SAMU),Ministre de la Santé
138,Participation des communes au Fonds pour l'Emploi.,Ministre de l'Intérieur
139,Enlèvement des traces d'huile sur la voie publique par l'Administration des Ponts et Chaussées,Ministre du Développement durable et des Infrastructures
140,Abolition du service mobile palliatif du Centre hospitalier du Nord,Ministre de la Santé
141,Immatriculations clandestines de voitures belges au Luxembourg,Ministre des Finances
142,Diplôme de bachelier pour infirmiers,Ministre de la Santé
143,Placement de personnes atteintes de troubles mentaux,Ministre de la Justice
144,Taxes sur les carburants,Ministre des Finances
145,L'évolution générale des taux d'intérêts de retard appliqués par les banques de la place sur les comptes VISA,Ministre des Finances
146,Infractions du code du travail constatées par l'ITM auprès de la Société de l'Aéroport de Luxembourg S.A.,Ministre du Développement durable et des Infrastructures
147,Organisation de cours de natation pour les classes des écoles primaires,Ministre de l'Intérieur
148,Signalements d'enfants en danger,Ministre de l'Education nationale
149,Antoniushaff,Ministre des Finances
150,Contrôles des frontières,Ministre des Finances
151,Application de la loi du 11 août 2006 relative à la lutte anti-tabac,Ministre de la Santé
152,Certificat  de vie,Ministre de la Sécurité sociale
153,Reclassement en cas d'invalidité de travail,Ministre de la Santé
154,Le phénomène des badauds sur les lieux d'un accident ou sinistre,Ministre de la Justice
155,"Documents demandés par la Commission spéciale ""TAXE"" du Parlement européen",Ministre des Finances
156,Participation aux prestations de soins,Ministre de la Santé
157,Essais cliniques de médicaments à usage humain,Ministre de la Santé
158,Remboursement de la part de l'Union européenne,Ministre des Finances
159,Collaboration entre le Ministère de l'Agriculture et le Ministère de la Santé dans l'intérêt de la santé publique,Ministre de la Santé
160,Le rachat de périodes d'assurances,Ministre de la Sécurité sociale
161,Site de la Bibliothèque nationale,Ministre du Développement durable et des Infrastructures
162,Pollution à l'ozone et limitation de vitesse,Ministre du Développement durable et des Infrastructures
163,Greffes d'organes,Ministre de la Santé
164,Situation scolaire et structures d'accueil des enfants du personnel des institutions européennes dans la perspective de l'élargissement de l'UE,Premier Ministre
165,Campagne publicitaire de la sécurité routière,Ministre du Développement durable et des Infrastructures
166,Admissibilité aux examens dans les carrières de l'inspecteur et du brigadier policier,Ministre de la Justice
167,Eventuelles modifications de PAP suite à l'arrêt de la Cour Administrative en date du 12 février 2015 (PAP « Am Pescher »),Ministre de l'Intérieur
168,Evolution de l'assurance dépendance,Ministre de la Santé
169,Utilisation d'écocombis,Ministre du Développement durable et des Infrastructures
170,Listes noire et grise de l'Union européenne,Ministre des Finances
171,Déboisement de forêts tropicales dans la République démocratique du Congo,Ministre des Finances
172,Prix d'hébergement pratiqués par les établissements d'aide et de soins aux personnes âgées,Ministre de la Sécurité sociale
173,Subvention pour l'achat d'une voiture hybride,Ministre des Finances
174,Problématique de la surfacturation de la maison de retraite « Am Schmëttbësch » à Schifflange,Ministre de la Santé
175,Education différenciée,Ministre de l'Education nationale
176,Organisation du service obstétrique à partir du 1er janvier 2015 dans les maternités du CHDN et CHEM au vue de la dénonciation de la convention afférente de la part des pédiatres,Ministre de la Santé
177,Masques chirurgicaux,Ministre de la Santé
178,Stratégie de déconfinement,Ministre de l'Intérieur
179,Augmentation du trafic aux heures de pointe sur le réseau routier luxembourgeois,Ministre du Développement durable et des Infrastructures
180,Monnaies virtuelles,Ministre des Finances
181,Homeschooling,Ministre de l'Education nationale
182,Construction d'un futur lycée à Mondorf-les Bains,Ministre de l'Education nationale
183,Droits des passagers,Ministre du Développement durable et des Infrastructures
184,Régionalisation des structures et des services de la police grand-ducale,Ministre de l'Intérieur
185,Résidents luxembourgeois partis en Syrie pour combattre avec l'Etat islamique (EI),Premier Ministre
186,Déficit des caisses de maladie,Ministre de la Sécurité sociale
187,Route N7,Ministre du Développement durable et des Infrastructures
188,Prime COOL,Ministre du Développement durable et des Infrastructures
189,Emissions polluantes des véhicules automobiles,Ministre du Développement durable et des Infrastructures
190,Vente de titre de transport dans les autobus de la ligne 16,Ministre du Développement durable et des Infrastructures
191,Possibilité du condamné de s'enfuir à l'étranger entre le verdict et le jugement en appel,Ministre de la Justice
192,Publicité de prestataires médicaux,Ministre de la Santé
193,Bracelet électronique,Ministre de la Justice
194,Prix de la formation au Centre de formation pour Conducteurs,Ministre du Développement durable et des Infrastructures
195,Réforme bancaire CRD-IV,Ministre des Finances
196,Cambriolages,Ministre de la Justice
197,"""Blue Whale Challenge""",Ministre de l'Education nationale
198,Amende pour la banque BNP Paribas par les autorités américaines,Ministre des Finances
199,Mesures préventives contre la transmission de la tuberculose en milieu carcéral,Ministre de la Justice
200,Raton laveur,Ministre du Développement durable et des Infrastructures
201,Projet de réaménagement de l'esplanade à Remich,Ministre du Développement durable et des Infrastructures
202,Prescription d'applications de santé mobiles et remboursement par la caisse de maladie,Ministre de la Santé
203,Utilisation des listes électorales,Ministre de l'Intérieur
204,Bilan de la réforme de l'enseignement fondamental,Ministre de l'Education nationale
205,Travaux scolaires à domicile,Ministre de l'Education nationale
206,Finance verte et soutenable,Ministre des Finances
207,Commissions des loyers des communes de moins de 6.000 habitants.,Ministre de l'Intérieur
208,Alertes alimentaires,Ministre de l'Intérieur
209,La politique de protection de l'eau,Ministre de l'Intérieur
210,Mise en place d'un tram léger à travers la ville de Luxembourg,Ministre du Développement durable et des Infrastructures
211,Mariages civils en dehors de la maison communale,Ministre de l'Intérieur
212,Problèmes d'encadrement et de communication à l'intérieur du centre pénitentaire de Schrassig,Ministre de la Justice
213,Internat socio-familial à Dudelange,Ministre du Développement durable et des Infrastructures
214,Transport vers les centres de vaccination,Ministre de la Santé
215,Élaboration d' une loi concernant les Ministres,Premier Ministre
216,Arrêt C-623/13 de la Cour de justice de l'Union européenne,Ministre de la Sécurité sociale
217,Plan directeur régional de la région Sud,Ministre de l'Intérieur
218,"Création de ""Europe Online asbl""",Premier Ministre
219,Vaccins contre l'hépatite B,Ministre de la Sécurité sociale
220,Contournement Dippach-Gare,Ministre du Développement durable et des Infrastructures
221,Occupation de personnel domestique dans un ménage privé,Ministre de la Sécurité sociale
222,Situation pénitentiaire au Luxembourg,Ministre de la Justice
223,"Brochure ""Du personnel engagé dans votre ménage""",Ministre de la Sécurité sociale
224,"Réédition du manuel dit ""Majerus"" - ouvrage de référence unique dans le domaine du droit constitutionnel et administratif du Luxembourg",Premier Ministre
225,Introduction d'une chambre au niveau du Tribunal administratif spécialement dédiée aux affaires du droit des étrangers,Ministre de la Justice
226,Participation du Luxembourg à l'étude PISA L,Ministre de l'Education nationale
227,Indemnités des pompiers volontaires,Ministre de l'Intérieur
228,"Système d'alerte ""Silver Alert""",Ministre de la Justice
229,Elaboration des plans locaux de sécurité,Ministre de l'Intérieur
230,"Critiques sur le film ""An Zéro""",Premier Ministre
231,Rapidité des secours médicalisés,Ministre de la Santé
232,Service d'urgences des hôpitaux,Ministre de la Santé
233,Tarifs dans les transports publics,Ministre du Développement durable et des Infrastructures
234,Transport scolaire pour la rentrée 2017-2018,Ministre de l'Education nationale
235,Assurance des chercheurs et doctorants au sein de l'Université du Luxembourg,Ministre de la Sécurité sociale
236,"""Carnet Radiologique""",Ministre de la Santé
237,Mesures d'hygiène et de sécurité dans les administrations,Ministre des Finances
238,Interdiction des amalgames dentaires,Ministre du Développement durable et des Infrastructures
239,Cérémonie civile le jour de la fête nationale,Premier Ministre
240,Conseil supérieur de la Mutualité (CSM),Ministre de la Sécurité sociale
241,Protection des données biométriques,Ministre de la Justice
242,Rénovation du parking Saint-Esprit,Ministre de la Justice
243,Banque de données de l'ILR,Premier Ministre
244,"Publication des informations ""pays par pays""",Ministre des Finances
245,Contrats de location entre l'État et les communes,Ministre des Finances
246,"Echange automatique de ""rulings""",Ministre des Finances
247,Campagne de vaccination contre la grippe,Ministre de la Santé
248,Problématique de l'amiante,Ministre du Développement durable et des Infrastructures
249,Obésité dans nos sociétés,Ministre de la Santé
250,Banque Centrale du Luxembourg,Premier Ministre
251,"""Dividend stripping""",Ministre des Finances
252,Risque d'incendie lié à des installations photovoltaïques,Ministre du Développement durable et des Infrastructures
253,Accès aux actes civils pour le bénéficiaires de protection internationale,Ministre de la Justice
254,Instauration éventuelle d'un service minimum au niveau du transport scolaire avant le début des vacances scolaires,Ministre du Développement durable et des Infrastructures
255,"""Buffs"" commandés par le Ministère de l'Éducation nationale, de l'Enfance et de la Jeunesse",Ministre de l'Education nationale
256,Offre de services transfrontalière,Ministre de la Sécurité sociale
257,Commission de nomenclature,Ministre de la Sécurité sociale
258,Projet de Recherche Nursing,Ministre de la Santé
259,Assises culturelles,Premier Ministre
260,Recommandations de la Commission d'enquête sur le Service de Renseignement de l'Etat,Premier Ministre
261,Installation de détecteurs de fumée,Ministre de l'Intérieur
262,Circulation sur les pistes cyclables,Ministre du Développement durable et des Infrastructures
263,Comité des usagers des transports en commun,Ministre du Développement durable et des Infrastructures
264,"""Passenger Name Record""",Ministre du Développement durable et des Infrastructures
265,Situation de stationnement à Mertert,Ministre du Développement durable et des Infrastructures
266,Implantation du Lycée Mathias Adam sur le PED,Ministre de l'Education nationale
267,Hospitalisation sans consentement,Ministre de la Santé
268,Mères porteuses,Ministre de la Santé
269,Pointeurs-lasers,Ministre du Développement durable et des Infrastructures
270,Mesures de sensibilisation en matière d'accident nucléaire,Ministre de la Santé
271,Temps de vol des pilotes,Ministre du Développement durable et des Infrastructures
272,Jugement C-597/17 de la Cour de justice de l'Union européenne relatif au système commun de taxe sur la valeur ajoutée,Ministre de la Santé
273,Vétérans luxembourgeois de la Guerre de Corée,Premier Ministre
274,La procédure de l'expulsion des délinquants étrangers,Ministre de la Justice
275,Désistement de candidats avant des élections,Ministre de la Justice
276,Procédure judiciaire entamée contre l'ancien Président de la Chambre des Comptes,Ministre de la Justice
277,Application du Protocole d'Istanbul au Luxembourg,Ministre de la Santé
278,Imposition des activités commerciales des organisations agricoles,Ministre des Finances
279,Paquet de mesures d'économies,Ministre des Finances
280,Fédération St-Hubert des Chasseurs,Premier Ministre
281,Dialogue social structuré à propos de l'orientation fondamentale de la politique financière et budgétaire de l'Etat,Premier Ministre
282,"Confection d'un livre blanc sur la formation économique, politique et sociale continue",Ministre de l'Education nationale
283,Achat en ligne de médicaments,Ministre de la Santé
284,Prêts de démarrage,Ministre des Finances
285,Impact social de l'introduction d'une nouvelle taxe sur le co2,Ministre des Finances
286,"Dépassements réguliers des teneurs maxima en métaux lourds et dioxines dans les légumes-feuilles cultivés dans les jardins exposés aux émissions de l'industrie sidérurgique (Differdange, Esch-sur-Alzette, Schifflange)",Ministre de la Santé
287,Gratuité du vaccin,Ministre de la Santé
288,Protection des symboles nationaux,Premier Ministre
289,Remboursement des soins de médecine dentaire,Ministre de la Sécurité sociale
290,Prolongation électronique du permis de conduire,Ministre du Développement durable et des Infrastructures
291,Rapport des études économiques de l'OCDE,Premier Ministre
292,Convention signée entre le CGDIS et la Luxembourg Air Rescue (LAR),Ministre de l'Intérieur
293,Publicité de l'agence Luxembourg for Finance,Ministre des Finances
294,Sel de déneigement,Ministre du Développement durable et des Infrastructures
295,Défauts techniques détectés sur les ventilateurs dans le tunnel Gousselerbierg,Ministre du Développement durable et des Infrastructures
296,Participation des jeunes au système démocratique,Ministre de l'Education nationale
297,Système des peines pénales,Ministre de la Justice
298,Aides à la vision,Ministre de la Santé
299,Évaluation et autorisation des substances chimiques,Ministre du Développement durable et des Infrastructures
300,Société à responsabilité limitée simplifiée,Ministre de la Justice
301,Violence domestique,Ministre de la Santé
302,Gestion locative sociale,Ministre des Finances
303,Tarifs préférentiels pour les non-fumeurs,Ministre de la Santé
304,Création et mise en vente de logements et de commerces par le Fonds de rénovation de la Vieille Ville,Ministre du Développement durable et des Infrastructures
305,Formation d'enseignants du fondamental dans le cadre de la semaine européenne de l'argent,Ministre de l'Education nationale
306,Fermeture de certaines agences de la BCEE,Ministre des Finances
307,Prise en considération des avis des médecins traitants lors de la vaccination contre la Covid-19,Ministre de la Santé
308,Prix des carburants,Ministre des Finances
309,Stagiaires-instituteurs,Ministre de l'Education nationale
310,Pratique des 'rulings' au sein de l'Administration des Contributions directes,Ministre des Finances
311,Révélations sur ECHELON,Premier Ministre
312,Indisponibilité du médicament Trizivir,Ministre de la Santé
313,Audit dans le cadre de l'organisation des urgences médicales,Ministre de la Santé
314,Tests PCR,Ministre de la Santé
315,Lycée Edward Steichen à Clervaux,Ministre du Développement durable et des Infrastructures
316,"Reclassement de la zone industrielle ""Rothoicht"" dans la commune de Betzdorf",Ministre de l'Intérieur
317,Détermination du grade du handicap des malentendants,Ministre de la Sécurité sociale
318,Cours de premiers secours,Ministre de l'Intérieur
319,Politique d'achat de Restopolis en ce qui concerne les produits du terroir issus de l'agriculture domestique et en particulier de l'agriculture biologique,Ministre de l'Education nationale
320,Evolution des métiers du secteur agricole,Ministre de l'Education nationale
321,Utilisation d'aires de stationnement sur des propriétés privées lors de contrôles de vitesse et d'alcoolémie par des agents de la Police Grand-Ducale,Ministre de la Justice
322,Coût des test rapides Covid-19,Ministre de la Santé
323,Transposition de la réforme dans la Fonction publique au secteur communal,Ministre de l'Intérieur
324,Dons d'organes et transplantations,Ministre de la Santé
325,Dossier concernant la commissaire européenne française Edith Cresson,Ministre de la Justice
326,Projet intégré intermédiaire,Ministre de l'Education nationale
327,Voitures au gaz naturel,Ministre du Développement durable et des Infrastructures
328,Composition des Task forces dans le cadre de la pandémie du coronavirus,Premier Ministre
329,"Jardins à usage commun (selon le modèle des ""Schrebergärten"")",Ministre de l'Intérieur
330,Pistes cyclables à panneaux électriques,Ministre du Développement durable et des Infrastructures
331,Principe de l'égalité devant la loi,Ministre de l'Intérieur
332,Jeux de hasard,Ministre de l'Education nationale
333,Certificats d'investissement audiovisuel,Premier Ministre
334,Système de pré-plainte en ligne,Ministre de la Justice
335,La création d'un nouveau syndicat SIGEREST pour la gestion des stations d'épuration,Ministre de l'Intérieur
336,Production des cartes d'identité luxembourgeoises,Ministre de l'Intérieur
337,Déchets radioactifs produits au Luxembourg,Ministre de la Santé
338,Conducteurs circulant à contre-sens,Ministre du Développement durable et des Infrastructures
339,"Mise en place du ""Cours unique"" pour l'année scolaire 2017-2018",Ministre de l'Education nationale
340,Danger d'une épidémie de grippe aviaire,Ministre de la Santé
341,Interdiction des cigarettes aromatisées,Ministre de la Santé
342,Lutte contre la pédopornographie,Ministre de la Justice
343,Epreuves de langues pour les chargés de cours des écoles de musique,Ministre de l'Intérieur
344,Augmentation échelonnée des pensions en fonction de l'âge et de la carrière du bénéficiaire,Ministre de la Sécurité sociale
345,Participation de Qatar Airways dans le capital de Cargolux,Ministre du Développement durable et des Infrastructures
346,Mise en oeuvre de l'infrastructure publique liée à la mobilité électrique,Ministre du Développement durable et des Infrastructures
347,Système d'informations en temps réel pour les clients CFL,Ministre du Développement durable et des Infrastructures
348,Coopération entre les différents acteurs du secteur de la santé,Ministre de la Santé
349,Mobilité douce,Ministre du Développement durable et des Infrastructures
350,L'accès à l'information fiscale,Ministre des Finances
351,Service oncologie du Laboratoire national de santé,Ministre de la Santé
352,"Programme ""Lait à l'école""",Ministre de l'Education nationale
353,Poussières fines,Ministre de la Santé
354,Soldes dit Target,Ministre des Finances
355,Avertissements taxés des agents municipaux,Ministre de l'Intérieur
356,Test rapide pour le diagnostic de la Covid-19,Ministre de la Santé
357,Nocivité des rayonnements électromagnétiques ( Exempleécole préscolaire à Altrier),Ministre de l'Education nationale
358,Données de base et orientation de la réforme fiscale,Ministre des Finances
359,Coûts de l'assistance judiciaire,Ministre de la Justice
360,Reprise du championnat de football dans le cadre de la pandémie de la Covid-19,Ministre de la Santé
361,Vaccination des agents de la Police grand-ducale,Ministre de la Santé
362,Prise en charge par l'Union des Caisses de Maladie des frais de traitement à l'étranger,Ministre de la Sécurité sociale
363,"Mise en vigueur de la ""loi antitabac""",Ministre de la Sécurité sociale
364,Agrément des structures d'accueil pour enfants,Ministre de l'Education nationale
365,Agents municipaux,Ministre de la Justice
366,Lutte contre la traite des femmes,Ministre de la Justice
367,Contrôle de l'espace aérien,Ministre du Développement durable et des Infrastructures
368,Incidents avec des jeunes à Esch-Alzette,Ministre de la Justice
369,Prévention de troubles cardiaques,Ministre de la Santé
370,Projet d'introduction d'un péage pour les automobilistes en Allemagne et son application éventuelle aux tracteurs et autres machines automotrices agricoles et viticoles,Ministre du Développement durable et des Infrastructures
371,Confusion d'échantillons de biopsies mammaires au sein du Laboratoire national de santé,Ministre de la Santé
372,Avions gros-porteurs,Ministre des Finances
373,Saint Nicolas et chants de Noël à l'école,Ministre de l'Education nationale
374,La piste de karting à Mondercange,Ministre de la Santé
375,Jugement du Conseil supérieur de la sécurité sociale concernant l'exposition régulière à des pesticides au lieu de travail,Ministre de la Sécurité sociale
376,Suspension de publication du Livre des impôts luxembourgeois,Ministre des Finances
377,Système de la représentation proportionnelle ( exemplecommune de Kopstal),Ministre de l'Intérieur
378,Augmentation du trafic sur la B7/N7,Ministre du Développement durable et des Infrastructures
379,Remboursement du nouveau code de visite majorée en médecine générale (V8),Ministre de la Sécurité sociale
380,Obésité,Ministre de la Santé
381,Méthode de l'écholocalisation utilisée par les non-voyants comme méthode d'orientation et mode de déplacement,Ministre de la Santé
382,Règlement de discipline pour la Force Publique,Ministre de la Justice
383,Vaccins contre la grippe aviaire,Ministre de la Sécurité sociale
384,Animaux domestiques exotiques,Ministre de la Santé
385,Reconnaissance au Taïwan du statut de membre observateur à l'Organisation mondiale de la Santé et à l'Assemblée mondiale de la santé,Ministre de la Sécurité sociale
386,Transfert des personnes agées de plus de 65 ans du Rehacenter vers des centres étrangers,Ministre de la Santé
387,Distribution de seringues stériles pour toxicomanes à l'intérieur des établissements pénitentiaires,Ministre de la Justice
